concept,nb_publ,nb_ai_publ,share_ai_total,nb_publ_2005,nb_ai_publ_2005,share_ai_2005, nb_publ_2006,nb_ai_publ_2006,share_ai_2006,nb_publ_2007,nb_ai_publ_2007,share_ai_2007,nb_publ_2008,nb_ai_publ_2008,share_ai_2008,nb_publ_2009,nb_ai_publ_2009,share_ai_2009,nb_publ_2010,nb_ai_publ_2010,share_ai_2010,nb_publ_2011,nb_publ_2011.1,share_ai_2011,nb_publ_2012,nb_ai_publ_ 2012,share_ai_2012,nb_publ_2013,nb_ai_publ_2013,share_ai_2013,nb_publ_2014,nb_ai_publ_2014,share_ai_2014,nb_publ_2015,nb_ai_publ_2015,share_ai_2015,nb_publ_2016,nb_ai_publ_2016,share_ai_2016,nb_publ_2017,nb_ai_publ_2017,share_ai_2017,nb_publ_2018,nb_ai_publ_2018,share_ai_2018,nb_publ_2019,nb_ai_publ_2019,share_ai_2019,nb_publ_2020,nb_ai_publ_2020,share_ai_2020,nb_publ_2021,nb_ai_publ_2021,share_ai_2021,nb_publ_2022,nb_ai_publ_2022,share_ai_2022,nb_publ_2023,nb_ai_publ_2023,share_ai_2023,nb_publ_2024,nb_ai_publ_2024,share_ai_2024,weighted_nb_citations,weighted_nb_citations_se,top_cited_10,top_cited_10_se,top_cited_5,top_cited_5_se,top_cited_1,top_cited_se,semantic_distance,semantic_distance_se,new_word,new_word_se,new_word_comb,new_word_comb_se,new_phrase,new_phrase_se,new_phrase_comb,new_phrase_comb_se,parent_concept,n_rows,n_items_nov,items_nov_mean,items_nov_std,items_nov_median,items_nov_composite,share_ai_mean_2005_2023
Geochemistry,488 536,17 496,0.0358,16 898,575,0.034,19 377,646,0.0333,19 178,670,0.0349,21 081,791,0.0375,22 709,786,0.0346,23 985,849,0.0354,23 481,808,0.0344,25 406,854,0.0336,25 518,806,0.0316,26 650,798,0.029900000000000003,24 770,726,0.029300000000000003,25 265,745,0.029500000000000002,25 532,781,0.030600000000000002,26 405,875,0.0331,29 880,1 068,0.035699999999999996,27 922,949,0.034,27 691,1 099,0.0397,26 371,1 061,0.04019999999999999,26 590,1 182,0.044500000000000005,23 827,1 427,0.0599,0.001,0.004,0.398***,0.033,0.488***,0.042,0.790***,0.076,0.019***,0.0,,,,,,,,,Geology,488536,214315,-0.541449554599774,1.7725656605585038,-0.14507601311465934,-0.18693642248807318,0.034515789473684215
Geodesy,597 134,199 691,0.3344,17 276,3 437,0.1989,19 036,4 083,0.2145,19 329,4 283,0.2216,21 384,4 812,0.225,23 507,5 400,0.2297,26 302,6 461,0.24559999999999998,26 648,6 537,0.24530000000000002,28 603,7 010,0.2451,28 971,7 282,0.2514,30 392,7 966,0.2621,30 517,8 417,0.2758,31 007,9 033,0.2913,31 190,9 858,0.3161,34 104,11 708,0.3433,38 165,14 467,0.3791,40 293,17 072,0.42369999999999997,43 435,20 537,0.4728,40 622,20 462,0.5036999999999999,44 261,23 084,0.5215,22 092,7 782,0.35229999999999995,0.086***,0.002,0.418***,0.01,0.596***,0.013,0.989***,0.028,0.011***,0.0,0.317***,0.019,0.167***,0.009,0.200***,0.01,0.069***,0.01,"Geography, Geology",597134,236982,-0.6960307167152162,2.0006742200704597,-0.3803698265984939,-0.2958958727011243,0.30876315789473685
Geometry,4 731 727,1 323 366,0.2797,165 687,43 035,0.2597,182 827,48 219,0.2637,187 726,49 414,0.2632,200 263,53 910,0.2692,214 464,58 464,0.2726,230 608,63 865,0.27690000000000003,241 694,64 985,0.26890000000000003,242 825,65 391,0.2693,251 281,67 847,0.27,254 269,67 593,0.2658,248 826,65 867,0.2647,243 007,64 615,0.2659,242 660,65 545,0.2701,258 547,72 680,0.2811,271 721,79 587,0.2929,279 954,83 682,0.2989,286 061,88 686,0.31,261 791,82 950,0.3169,277 303,88 949,0.3208,190 213,48 082,0.2528,0.009***,0.001,0.128***,0.004,0.221***,0.005,0.420***,0.01,0.013***,0.0,0.089***,0.008,0.126***,0.003,0.122***,0.004,0.122***,0.003,Mathematics,4731740,1854873,-1.0124232952496572,2.160047602580706,-0.7834696832977692,-0.5804137747335161,0.27897894736842105
Geomorphology,662 563,58 173,0.08779999999999999,23 617,1 921,0.08130000000000001,24 792,1 910,0.077,26 454,2 052,0.0776,27 989,2 208,0.0789,30 820,2 574,0.08349999999999999,32 866,2 647,0.0805,33 605,2 761,0.08220000000000001,36 218,2 969,0.08199999999999999,37 231,3 112,0.0836,36 571,2 956,0.0808,34 604,2 885,0.0834,34 936,2 968,0.085,34 594,3 003,0.0868,36 271,3 207,0.08839999999999999,37 078,3 477,0.09380000000000001,36 778,3 330,0.09050000000000001,35 898,3 358,0.0935,34 576,3 439,0.09949999999999999,34 728,3 741,0.10769999999999999,32 937,3 655,0.111,-0.005***,0.002,0.228***,0.017,0.346***,0.021,0.588***,0.04,0.014***,0.0,-0.144***,0.029,-0.024*,0.014,-0.075***,0.015,-0.056***,0.015,Geology,662563,269703,-0.31123429992381835,1.6787030472654687,0.00874647540550023,0.024506309529275405,0.08610526315789473
Geophysics,289 016,22 085,0.0764,10 780,620,0.0575,11 573,659,0.056900000000000006,11 596,713,0.061500000000000006,12 421,766,0.0617,13 384,931,0.0696,14 447,1 022,0.0707,14 420,1 081,0.075,15 113,1 067,0.0706,15 141,1 012,0.0668,16 284,1 194,0.0733,15 593,1 090,0.0699,14 984,1 025,0.0684,15 358,1 163,0.0757,16 091,1 187,0.0738,16 854,1 362,0.0808,16 356,1 359,0.08310000000000001,15 816,1 495,0.09449999999999999,14 947,1 491,0.0998,15 946,1 694,0.10619999999999999,11 912,1 154,0.0969,-0.001,0.003,0.182***,0.028,0.225***,0.036,0.186**,0.079,0.022***,0.0,,,,,,,,,"Geology, Physics",289016,127958,-0.5750450167273573,1.780536469519995,-0.17935124703949842,-0.21893772282335827,0.07451578947368422
Geotechnical Engineering,1 618 408,162 679,0.1005,53 942,5 185,0.09609999999999999,57 823,5 805,0.10039999999999999,62 232,6 117,0.0983,66 650,6 693,0.10039999999999999,74 144,7 348,0.09910000000000001,80 675,8 018,0.09939999999999999,86 577,8 595,0.0993,88 348,8 709,0.0986,91 159,8 781,0.09630000000000001,88 425,8 372,0.0947,81 756,7 630,0.0933,79 382,7 389,0.0931,78 651,7 466,0.0949,86 238,8 577,0.09949999999999999,89 355,8 910,0.09970000000000001,94 506,9 763,0.1033,95 857,10 344,0.1079,90 831,9 929,0.1093,94 373,11 012,0.1167,77 484,8 036,0.10369999999999999,0.011***,0.001,0.084***,0.01,0.148***,0.012,0.276***,0.024,0.007***,0.0,,,0.008,0.008,-0.042***,0.009,-0.097***,0.009,"Engineering, Geology",1618411,667722,-0.37008355206912813,1.9098532678480928,0.01185687496478048,0.011887101500490438,0.1000157894736842
Gerontology,875 747,38 467,0.043899999999999995,21 716,716,0.033,24 562,842,0.034300000000000004,25 397,894,0.0352,27 981,949,0.0339,30 600,1 096,0.0358,33 236,1 242,0.0374,36 489,1 429,0.0392,38 284,1 535,0.0401,41 795,1 704,0.0408,45 528,1 893,0.0416,48 944,2 003,0.0409,48 749,1 977,0.0406,49 651,2 213,0.0446,51 244,2 417,0.0472,54 785,2 596,0.047400000000000005,61 997,2 988,0.0482,60 303,3 276,0.054299999999999994,56 626,3 123,0.0552,62 238,3 361,0.054000000000000006,55 622,2 213,0.0398,-0.006**,0.003,-0.059***,0.018,-0.101***,0.024,-0.340***,0.058,0.010***,0.0,-0.072*,0.04,0.050***,0.014,-0.044**,0.021,-0.003,0.014,Medicine,875768,400074,0.41896969044459403,1.1367011241649634,0.4840367372992631,0.6463099152775867,0.04230000000000001
Gynecology,506 151,5 897,0.011699999999999999,16 567,187,0.0113,18 345,190,0.0104,17 969,182,0.0101,20 173,165,0.008199999999999999,22 790,209,0.0092,22 447,206,0.0092,24 176,239,0.009899999999999999,25 968,256,0.009899999999999999,26 375,255,0.0097,26 317,274,0.0104,26 644,279,0.0105,27 492,280,0.0102,27 468,326,0.011899999999999999,27 916,301,0.0108,29 532,367,0.0124,31 211,421,0.013500000000000002,30 541,377,0.0123,27 898,438,0.015700000000000002,30 878,499,0.016200000000000003,25 444,446,0.0175,0.032***,0.006,0.123***,0.046,0.131**,0.058,0.126,0.119,0.015***,0.001,-0.024,0.083,-0.001,0.036,-0.038,0.047,-0.121***,0.038,Medicine,506155,191876,0.1420993366103066,1.2216852112780485,0.2943474032176164,0.3864363788659163,0.011147368421052632
Horticulture,1 068 867,29 060,0.027200000000000002,33 217,721,0.0217,36 607,813,0.0222,39 580,826,0.0209,44 222,1 044,0.0236,50 800,1 115,0.0219,54 927,1 296,0.0236,55 426,1 321,0.023799999999999998,58 457,1 363,0.0233,60 158,1 401,0.0233,59 465,1 368,0.023,56 614,1 375,0.024300000000000002,48 583,1 194,0.0246,52 208,1 329,0.0255,56 949,1 535,0.027000000000000003,59 505,1 691,0.028399999999999998,66 001,1 973,0.029900000000000003,65 569,2 183,0.0333,61 248,2 211,0.0361,62 754,2 411,0.0384,46 577,1 890,0.0406,0.055***,0.003,0.501***,0.022,0.581***,0.028,0.890***,0.051,0.022***,0.0,-0.104***,0.033,-0.121***,0.019,0.032,0.02,-0.064***,0.02,Biology,1068874,429506,0.18041597680207397,1.5635020889548021,0.450551784618116,0.49311639459303447,0.026042105263157894
Immunology,2 860 419,33 510,0.011699999999999999,91 133,722,0.0079,98 206,882,0.009000000000000001,101 380,1 003,0.009899999999999999,109 211,1 082,0.009899999999999999,117 271,1 173,0.01,122 849,1 269,0.0103,130 138,1 273,0.0098,134 735,1 308,0.0097,141 948,1 373,0.0097,142 216,1 356,0.0095,140 034,1 450,0.0104,139 605,1 374,0.0098,140 390,1 525,0.0109,145 501,1 718,0.0118,156 322,1 973,0.0126,181 612,2 552,0.0141,190 818,2 690,0.0141,188 788,2 707,0.0143,228 328,3 476,0.0152,159 934,2 604,0.0163,-0.021***,0.003,0.142***,0.023,0.167***,0.032,0.169**,0.071,0.030***,0.0,-0.214***,0.036,-0.481***,0.017,-0.163***,0.02,-0.605***,0.018,"Biology, Medicine",2860431,1576507,0.884010278565195,0.9559221866564717,0.935061408586847,1.0751947158964894,0.010994736842105264
Industrial Engineering,95 924,43 064,0.4489,3 443,1 413,0.4104,3 935,1 685,0.4282,3 985,1 597,0.4008,4 385,1 867,0.42579999999999996,4 662,2 006,0.4303,4 757,2 006,0.4217,5 117,2 185,0.42700000000000005,4 827,2 083,0.4315,5 111,2 204,0.43119999999999997,4 915,2 103,0.4279,4 748,2 030,0.4275,4 288,1 813,0.4228,4 424,1 958,0.4426,4 970,2 193,0.4412,5 287,2 450,0.46340000000000003,5 704,2 755,0.483,6 419,3 170,0.4938,5 534,2 827,0.5108,5 776,3 059,0.5296,3 637,1 660,0.45640000000000003,0.012***,0.003,0.094***,0.025,0.095***,0.033,0.117*,0.068,0.005***,0.0,,,,,,,,,Engineering,95924,33584,-0.6585873215799204,2.1016352689001487,-0.553498379588007,-0.23826026779989062,0.4447105263157894
Inorganic Chemistry,1 099 742,6 414,0.0058,37 578,186,0.0049,40 502,231,0.005699999999999999,41 260,189,0.0046,42 857,221,0.0052,45 253,237,0.0052,49 056,270,0.0055000000000000005,52 604,256,0.0049,52 774,237,0.0045000000000000005,56 749,234,0.0040999999999999995,57 787,264,0.0046,56 147,251,0.0045000000000000005,55 071,260,0.004699999999999999,55 514,274,0.0049,58 988,336,0.005699999999999999,63 874,350,0.0055000000000000005,67 394,394,0.0058,67 111,417,0.0062,70 250,511,0.0073,71 341,477,0.0067,57 632,819,0.014199999999999999,-0.029***,0.008,0.029,0.048,0.079,0.064,0.004,0.14,0.024***,0.0,-0.149**,0.074,,,-0.103**,0.041,-0.433***,0.036,Chemistry,1099742,794211,0.4944490024555814,1.1166671681307447,0.542028526364828,0.7177824360817303,0.005289473684210526
Intensive Care Medicine,1 131 030,31 363,0.0277,30 656,713,0.0233,34 166,787,0.023,36 028,774,0.0215,40 320,883,0.0219,42 337,975,0.023,45 899,1 006,0.0219,48 960,1 149,0.0235,52 198,1 221,0.023399999999999997,53 638,1 213,0.0226,54 361,1 261,0.0232,57 818,1 320,0.022799999999999997,58 751,1 466,0.025,59 405,1 532,0.0258,61 404,1 665,0.0271,65 264,1 895,0.028999999999999998,83 779,2 590,0.030899999999999997,79 002,2 558,0.032400000000000005,68 325,2 571,0.037599999999999995,72 556,2 899,0.04,86 163,2 885,0.0335,0.028***,0.003,0.147***,0.02,0.148***,0.026,0.057,0.054,0.026***,0.0,0.058,0.047,0.069***,0.017,-0.022,0.026,-0.093***,0.017,Medicine,1131089,439083,0.3056950699079302,1.1364220959660774,0.367653135314246,0.5329794891011457,0.026205263157894735
Internal Medicine,12 850 520,358 880,0.0279,369 086,7 174,0.0194,404 585,7 865,0.0194,417 335,8 534,0.0204,458 150,9 552,0.0208,492 366,10 376,0.021099999999999997,528 801,11 601,0.0219,575 665,12 944,0.0225,602 334,13 312,0.022099999999999998,634 896,14 409,0.0227,639 544,14 705,0.023,649 402,15 332,0.0236,647 065,15 662,0.0242,665 494,17 065,0.0256,698 323,19 215,0.0275,758 010,22 346,0.029500000000000002,870 352,27 871,0.032,886 245,31 108,0.0351,842 551,31 839,0.0378,967 648,37 396,0.038599999999999995,742 668,30 574,0.0412,0.026***,0.001,0.308***,0.006,0.399***,0.008,0.513***,0.016,0.025***,0.0,-0.040***,0.011,-0.108***,0.005,0.063***,0.006,-0.213***,0.005,Medicine,12850630,6189179,0.511683765116271,1.2107115550752088,0.67569233221008,0.7538260761313128,0.0256421052631579
Linguistics,5 391 248,1 286 197,0.2386,154 065,31 373,0.2036,172 512,36 113,0.20929999999999999,186 442,39 033,0.2094,202 984,43 997,0.2168,224 362,48 465,0.21600000000000003,245 037,53 841,0.21969999999999998,262 251,56 126,0.214,268 861,57 560,0.2141,281 931,59 859,0.21230000000000002,291 202,62 070,0.2132,294 612,62 586,0.21239999999999998,286 775,61 748,0.21530000000000002,279 549,63 082,0.2257,300 358,71 943,0.2395,324 741,82 354,0.2536,360 879,91 502,0.2536,360 917,98 881,0.27399999999999997,326 378,95 290,0.292,345 654,105 572,0.3054,221 738,64 802,0.2922,0.022***,0.0,0.135***,0.004,0.264***,0.005,0.558***,0.009,0.015***,0.0,0.100***,0.008,0.090***,0.003,0.153***,0.004,0.082***,0.004,Philosophy,5391270,1611871,-0.8129546704194818,2.2600987715922316,-0.45491495836384516,-0.36093491610103545,0.2315736842105263
Manufacturing Engineering,278 875,52 914,0.18969999999999998,11 475,2 025,0.1765,12 886,2 277,0.17670000000000002,12 639,2 121,0.1678,13 482,2 350,0.1743,13 858,2 451,0.1769,15 034,2 692,0.1791,15 770,2 816,0.17859999999999998,14 468,2 575,0.17800000000000002,14 769,2 792,0.18899999999999997,14 103,2 555,0.1812,13 484,2 377,0.17629999999999998,12 421,2 191,0.1764,12 730,2 331,0.18309999999999998,14 200,2 616,0.18420000000000003,14 464,2 907,0.201,15 624,3 351,0.2145,14 890,3 320,0.223,12 955,2 947,0.2275,14 541,3 278,0.2254,15 082,2 942,0.19510000000000002,0.015***,0.002,0.066***,0.018,0.058**,0.023,0.071,0.046,0.009***,0.0,-0.051,0.046,0.072***,0.015,-0.008,0.022,,,Engineering,278875,57767,-0.495057361767805,2.1810514813121147,-0.362739209604967,-0.058847065505382046,0.188921052631579
Marine Engineering,296 363,62 448,0.2107,8 741,1 638,0.18739999999999998,9 589,1 864,0.19440000000000002,10 505,1 930,0.1837,11 482,2 185,0.19030000000000002,13 010,2 483,0.1909,14 232,2 713,0.1906,16 414,3 251,0.1981,15 956,3 223,0.20199999999999999,16 855,3 426,0.20329999999999998,16 517,3 322,0.2011,16 223,3 209,0.1978,15 196,3 120,0.2053,15 163,3 092,0.2039,16 103,3 335,0.2071,16 988,3 553,0.2091,15 919,3 612,0.22690000000000002,16 643,3 893,0.2339,15 591,4 024,0.2581,17 569,4 485,0.2553,17 667,4 090,0.23149999999999998,0.010***,0.002,0.019,0.017,-0.001,0.022,0.106**,0.044,0.004***,0.0,0.048,0.035,0.144***,0.015,0.063***,0.017,0.180***,0.017,Engineering,296366,81856,-0.7301491525215779,2.1504931724278946,-0.5003715302712235,-0.3000505180359989,0.20732631578947366
Mathematical Physics,494 574,78 735,0.1592,17 748,2 799,0.1577,18 458,3 006,0.1629,18 904,3 117,0.1649,20 349,3 343,0.1643,20 974,3 552,0.16940000000000002,22 290,3 851,0.1728,23 273,4 009,0.1723,23 750,3 890,0.1638,24 307,3 980,0.1637,25 864,4 091,0.1582,26 957,4 141,0.1536,26 057,3 859,0.1481,26 091,4 076,0.1562,26 811,4 140,0.15439999999999998,28 430,4 590,0.16140000000000002,28 705,4 776,0.1664,31 436,5 165,0.1643,29 344,4 743,0.1616,31 895,4 927,0.1545,22 931,2 680,0.11689999999999999,-0.004*,0.002,0.101***,0.014,0.170***,0.019,0.441***,0.037,0.011***,0.0,,,,,,,,,"Mathematics, Physics",494576,239703,-1.6626607204806332,1.8349587768944,-1.8835702633313804,-1.2956689651017532,0.16160526315789472
Mechanical Engineering,4 230 789,816 751,0.193,135 257,24 812,0.1834,151 746,28 146,0.1855,157 637,28 658,0.1818,173 530,32 149,0.18530000000000002,189 141,35 175,0.18600000000000003,206 102,38 747,0.188,224 870,41 825,0.18600000000000003,224 381,41 020,0.18280000000000002,231 715,42 224,0.1822,233 091,42 761,0.18350000000000002,223 828,40 550,0.1812,212 654,38 660,0.1818,213 477,39 839,0.1866,228 578,43 712,0.1912,244 885,48 430,0.1978,262 874,53 112,0.20199999999999999,264 572,55 913,0.2113,239 584,54 111,0.2259,250 631,57 114,0.2279,162 236,29 793,0.18359999999999999,-0.004***,0.001,0.031***,0.005,0.080***,0.006,0.161***,0.012,0.010***,0.0,-0.031***,0.01,0.057***,0.004,0.072***,0.005,0.117***,0.004,Engineering,4230807,1384032,-0.6708789206563933,2.097674335462197,-0.3683047151675837,-0.25134405356395384,0.1921157894736842
Mechanics,1 883 870,204 256,0.1084,67 647,7 069,0.1045,73 421,7 683,0.10460000000000001,73 857,7 876,0.1066,78 582,8 561,0.10890000000000001,82 238,8 901,0.1082,87 628,9 546,0.10890000000000001,95 073,10 311,0.1085,96 412,10 262,0.10640000000000001,99 650,10 657,0.1069,101 038,10 905,0.1079,98 252,10 268,0.1045,98 124,10 458,0.1066,99 268,10 262,0.10339999999999999,103 844,10 900,0.105,107 789,11 668,0.1082,106 566,11 685,0.1097,110 562,12 705,0.1149,106 127,12 397,0.1168,110 546,13 042,0.11800000000000001,87 246,9 100,0.1043,-0.022***,0.001,-0.069***,0.009,-0.047***,0.012,0.005,0.026,0.012***,0.0,0.073***,0.017,0.097***,0.007,0.007,0.008,0.035***,0.007,Physics,1883880,987081,-0.6275959976799332,1.9647325853329758,-0.39212863615572535,-0.23464948061333807,0.10834210526315789
Medical Education,1 402 508,145 621,0.1038,32 377,2 853,0.08810000000000001,37 288,3 352,0.08990000000000001,40 721,3 625,0.08900000000000001,44 952,4 056,0.0902,51 296,4 680,0.09119999999999999,56 839,5 208,0.0916,62 689,5 964,0.0951,65 632,6 470,0.0986,70 209,6 707,0.0955,73 316,6 970,0.0951,76 762,7 309,0.09519999999999999,74 867,7 206,0.09630000000000001,75 325,7 164,0.0951,80 282,8 097,0.1009,88 740,9 434,0.1063,107 988,12 616,0.1168,102 607,12 756,0.1243,91 248,11 784,0.1291,96 218,12 865,0.13369999999999999,73 152,6 505,0.0889,0.032***,0.001,0.175***,0.009,0.209***,0.012,0.302***,0.023,0.005***,0.0,-0.026,0.025,0.093***,0.008,-0.032**,0.013,0.068***,0.008,Medicine,1402516,433016,-0.46043541918522685,1.9846825753173885,-0.17127721135632096,-0.06349890412174913,0.10115789473684211
Medical Emergency,597 848,29 183,0.048799999999999996,17 737,673,0.0379,19 354,748,0.038599999999999995,19 853,849,0.042800000000000005,21 360,893,0.0418,22 545,1 019,0.0452,25 341,1 174,0.0463,26 714,1 223,0.0458,28 948,1 298,0.044800000000000006,30 332,1 480,0.048799999999999996,30 710,1 405,0.0458,32 143,1 451,0.0451,32 591,1 448,0.0444,32 399,1 426,0.044000000000000004,33 553,1 523,0.0454,34 666,1 815,0.0524,46 349,2 377,0.0513,42 601,2 430,0.057,34 652,2 077,0.0599,33 179,2 221,0.0669,32 821,1 653,0.0504,0.013***,0.003,0.109***,0.02,0.133***,0.026,0.171***,0.053,0.018***,0.0,0.047,0.048,0.131***,0.017,0.072***,0.023,0.138***,0.018,Medicine,597858,235944,0.02806089924062349,1.4002015616242622,0.10441372299936795,0.30810121156547593,0.04758947368421053
Medical Physics,274 768,47 363,0.1724,8 962,1 398,0.156,9 481,1 513,0.15960000000000002,9 513,1 454,0.1528,10 385,1 571,0.15130000000000002,11 153,1 698,0.1522,11 661,1 856,0.1592,13 063,1 962,0.1502,13 502,2 056,0.1523,13 618,2 109,0.1549,14 149,2 200,0.1555,14 585,2 289,0.15689999999999998,15 415,2 597,0.1685,14 286,2 262,0.1583,14 806,2 383,0.1609,15 425,2 503,0.1623,15 558,2 910,0.187,15 140,3 043,0.201,14 741,3 192,0.2165,17 061,4 031,0.23629999999999998,22 264,4 336,0.1948,0.043***,0.002,0.284***,0.017,0.314***,0.022,0.353***,0.045,0.009***,0.0,0.200***,0.028,0.391***,0.014,0.316***,0.017,0.514***,0.015,"Medicine, Physics",274770,97939,-0.018971712440774797,1.8205715527942683,0.261145497131287,0.3451425981180789,0.1679842105263158
Medicinal Chemistry,336 576,1 065,0.0032,19 573,71,0.0036,19 450,64,0.0033,19 589,47,0.0024,17 963,77,0.0043,18 678,55,0.0029,19 720,61,0.0031,21 651,55,0.0025,20 553,55,0.0027,20 209,58,0.0029,19 581,56,0.0029,18 876,46,0.0024,17 356,49,0.0028000000000000004,14 532,43,0.003,14 110,38,0.0027,14 146,46,0.0033,13 855,54,0.0039000000000000003,13 312,48,0.0036,12 207,30,0.0025,11 931,33,0.0028000000000000004,9 284,79,0.0085,-0.011,0.016,-0.158,0.135,-0.241,0.19,0.075,0.358,0.015***,0.001,-0.049,0.137,-0.224***,0.082,-0.052,0.099,-0.309***,0.082,Chemistry,336577,223371,-0.047109437204022324,1.2866163483465525,-0.225820699892804,0.2102138324652882,0.003031578947368421
Metallurgy,3 343 662,119 569,0.0358,109 568,3 944,0.036000000000000004,121 083,4 274,0.0353,127 830,4 470,0.035,130 996,4 568,0.0349,142 668,4 945,0.0347,153 135,5 293,0.0346,166 808,5 630,0.0338,167 676,5 618,0.0335,177 037,5 529,0.031200000000000002,179 093,5 811,0.032400000000000005,173 780,5 553,0.032,169 786,5 374,0.0317,171 144,5 493,0.0321,182 729,6 062,0.0332,192 974,6 587,0.0341,196 755,7 057,0.0359,195 974,7 491,0.0382,197 293,7 736,0.0392,205 048,8 764,0.042699999999999995,182 285,9 370,0.051399999999999994,-0.027***,0.002,-0.054***,0.012,-0.049***,0.017,-0.021,0.036,0.022***,0.0,-0.181***,0.02,-0.100***,0.008,-0.045***,0.01,-0.100***,0.009,Materials Science,3343668,1848785,-0.08564780378350478,1.6012072583397208,0.20250255942346787,0.23459364788443937,0.03476315789473684
Meteorology,2 081 037,237 533,0.11410000000000001,63 457,5 722,0.0902,69 819,6 440,0.0922,71 880,6 679,0.0929,80 124,7 807,0.0974,87 857,8 538,0.09720000000000001,98 027,9 519,0.0971,100 707,10 325,0.1025,106 498,10 717,0.10060000000000001,112 102,11 263,0.1005,115 761,11 643,0.10060000000000001,113 288,11 329,0.1,111 829,11 248,0.10060000000000001,113 238,11 643,0.10279999999999999,121 662,13 437,0.1104,124 901,15 081,0.1207,127 771,16 331,0.1278,123 087,17 371,0.1411,114 405,17 179,0.1502,121 357,19 126,0.1576,103 267,16 135,0.1562,0.004***,0.001,0.124***,0.008,0.213***,0.01,0.431***,0.021,0.014***,0.0,0.111***,0.016,0.110***,0.007,0.098***,0.008,0.099***,0.008,"Geography, Physics",2081044,822036,-0.18182320991584336,1.8241655078278622,0.17672204776495942,0.1830098916497291,0.10960000000000002
Microbiology,1 401 674,18 687,0.013300000000000001,41 112,568,0.0138,44 744,644,0.0144,47 875,673,0.0141,52 765,691,0.0131,57 764,698,0.0121,61 154,751,0.0123,65 108,806,0.0124,68 899,871,0.0126,72 444,917,0.0127,73 078,834,0.011399999999999999,72 975,869,0.011899999999999999,74 116,878,0.0118,73 935,893,0.0121,76 711,1 009,0.0132,82 027,1 082,0.0132,92 971,1 376,0.0148,90 509,1 370,0.0151,86 516,1 248,0.0144,88 050,1 317,0.015,78 921,1 192,0.0151,-0.025***,0.004,0.150***,0.032,0.320***,0.041,0.732***,0.074,0.039***,0.0,-0.558***,0.052,-0.650***,0.023,-0.290***,0.028,-0.548***,0.025,Biology,1401689,793028,0.8320498928491853,1.11854309505186,0.934215546097271,1.0557585118595574,0.013178947368421054
Mineralogy,492 750,13 321,0.027000000000000003,19 381,472,0.024399999999999998,20 789,523,0.0252,21 471,551,0.025699999999999997,22 262,552,0.0248,23 109,616,0.026699999999999998,24 675,647,0.0262,25 593,705,0.0275,25 956,663,0.0255,27 950,723,0.0259,27 437,672,0.0245,26 154,679,0.026000000000000002,25 364,634,0.025,24 891,683,0.0274,25 898,679,0.0262,28 054,800,0.0285,27 401,804,0.029300000000000003,27 106,726,0.0268,25 326,743,0.029300000000000003,25 724,843,0.032799999999999996,18 209,606,0.0333,-0.012***,0.005,0.072**,0.034,0.012,0.047,0.157*,0.095,0.024***,0.0,-0.235***,0.054,-0.065**,0.026,-0.069**,0.028,-0.095***,0.029,"Chemistry, Geology",492750,279718,0.20546556983101907,1.6398135167095178,0.4273403805669698,0.5334282731729226,0.02672105263157895
Mining Engineering,204 183,15 405,0.0754,7 409,497,0.06709999999999999,8 414,562,0.0668,9 245,646,0.0699,10 055,786,0.0782,11 477,856,0.0746,12 121,906,0.0747,13 275,1 075,0.081,12 646,972,0.07690000000000001,12 591,952,0.0756,11 454,820,0.0716,10 080,655,0.065,8 806,541,0.061399999999999996,8 698,533,0.0613,9 853,638,0.06480000000000001,10 277,759,0.0739,9 380,750,0.08,10 142,876,0.0864,9 127,802,0.08789999999999999,9 289,909,0.09789999999999999,9 844,870,0.08839999999999999,0.022***,0.003,0.100***,0.032,0.162***,0.04,0.309***,0.076,0.014***,0.0,,,,,,,,,"Engineering, Geology",204183,43763,-0.39819045785519974,2.225452059076043,0.03662244403536306,0.046899953960008844,0.07447368421052632
Molecular Biology,919 045,3 445,0.0037,51 868,134,0.0026,54 209,160,0.003,52 689,140,0.0027,53 865,159,0.003,54 482,149,0.0027,54 625,153,0.0028000000000000004,54 882,163,0.003,51 757,163,0.0031,50 674,180,0.0036,46 905,158,0.0034000000000000002,42 637,169,0.004,39 187,166,0.0042,36 804,147,0.004,37 232,136,0.0037,37 395,156,0.0042,39 460,171,0.0043,37 438,166,0.0044,35 877,154,0.0043,66 605,424,0.0064,20 454,197,0.0096,0.021**,0.009,0.358***,0.066,0.488***,0.083,0.758***,0.155,0.028***,0.001,,,-0.848***,0.054,-0.302***,0.053,-0.905***,0.056,Biology,919051,525641,1.0422191546149961,0.7454806959524916,1.0053889495466084,1.1913152938054945,0.0036526315789473687
