concept,nb_publ,nb_ai_publ,share_ai_total,nb_publ_2005,nb_ai_publ_2005,share_ai_2005, nb_publ_2006,nb_ai_publ_2006,share_ai_2006,nb_publ_2007,nb_ai_publ_2007,share_ai_2007,nb_publ_2008,nb_ai_publ_2008,share_ai_2008,nb_publ_2009,nb_ai_publ_2009,share_ai_2009,nb_publ_2010,nb_ai_publ_2010,share_ai_2010,nb_publ_2011,nb_publ_2011.1,share_ai_2011,nb_publ_2012,nb_ai_publ_ 2012,share_ai_2012,nb_publ_2013,nb_ai_publ_2013,share_ai_2013,nb_publ_2014,nb_ai_publ_2014,share_ai_2014,nb_publ_2015,nb_ai_publ_2015,share_ai_2015,nb_publ_2016,nb_ai_publ_2016,share_ai_2016,nb_publ_2017,nb_ai_publ_2017,share_ai_2017,nb_publ_2018,nb_ai_publ_2018,share_ai_2018,nb_publ_2019,nb_ai_publ_2019,share_ai_2019,nb_publ_2020,nb_ai_publ_2020,share_ai_2020,nb_publ_2021,nb_ai_publ_2021,share_ai_2021,nb_publ_2022,nb_ai_publ_2022,share_ai_2022,nb_publ_2023,nb_ai_publ_2023,share_ai_2023,nb_publ_2024,nb_ai_publ_2024,share_ai_2024,weighted_nb_citations,weighted_nb_citations_se,top_cited_10,top_cited_10_se,top_cited_5,top_cited_5_se,top_cited_1,top_cited_se,semantic_distance,semantic_distance_se,new_word,new_word_se,new_word_comb,new_word_comb_se,new_phrase,new_phrase_se,new_phrase_comb,new_phrase_comb_se,parent_concept,n_rows,n_items_nov,items_nov_mean,items_nov_std,items_nov_median,items_nov_composite,share_ai_mean_2005_2023
Environmental Resource Management,664 203,67 535,0.1017,17 470,1 845,0.1056,18 971,1 981,0.10439999999999999,21 132,2 257,0.10679999999999999,23 903,2 529,0.1058,27 823,2 785,0.1001,30 753,3 128,0.1017,31 841,3 198,0.10039999999999999,33 336,3 378,0.1013,35 454,3 681,0.1038,36 709,3 588,0.0977,36 024,3 372,0.09359999999999999,34 287,3 198,0.0933,33 388,3 274,0.0981,36 859,3 684,0.0999,38 562,3 840,0.09960000000000001,41 054,4 198,0.1023,41 742,4 504,0.1079,38 973,4 294,0.11019999999999999,44 010,4 879,0.1109,41 912,3 922,0.09359999999999999,-0.007***,0.002,-0.035**,0.015,-0.040**,0.019,-0.077*,0.04,0.007***,0.0,0.006,0.032,0.037***,0.012,-0.028*,0.016,-0.051***,0.012,"Economics, Environmental Science",664204,242255,0.48072097570556516,1.5081579170788086,0.699268503494026,0.782352559121327,0.10228421052631578
Evolutionary Biology,1 049 455,276 307,0.2633,39 853,10 122,0.254,44 275,11 104,0.25079999999999997,46 497,11 838,0.2546,49 164,12 769,0.2597,52 100,13 684,0.2626,53 634,14 168,0.2642,54 945,14 332,0.2608,53 452,13 859,0.2593,54 830,13 898,0.2535,54 598,13 772,0.2522,53 004,12 892,0.2432,51 660,12 478,0.2415,52 043,13 078,0.25129999999999997,54 176,14 604,0.2696,57 803,15 930,0.2756,61 465,17 564,0.2858,62 884,18 600,0.2958,56 766,17 050,0.3004,57 597,17 432,0.30269999999999997,38 709,7 133,0.1843,-0.006***,0.001,0.221***,0.009,0.321***,0.011,0.568***,0.023,0.017***,0.0,-0.308***,0.016,-0.152***,0.007,-0.146***,0.008,-0.009,0.007,Biology,1049456,469867,-0.2553516560411053,1.918326259632736,0.26711478906207925,0.1283135958854419,0.26513684210526306
Family Medicine,1 321 353,47 851,0.0362,34 657,1 076,0.031,38 293,1 137,0.0297,39 304,1 300,0.0331,42 958,1 328,0.030899999999999997,45 416,1 379,0.0304,49 385,1 599,0.032400000000000005,53 976,1 829,0.0339,59 297,2 016,0.034,62 978,2 128,0.0338,67 327,2 236,0.0332,70 078,2 339,0.0334,71 921,2 515,0.035,72 981,2 662,0.0365,77 602,2 732,0.0352,83 270,3 140,0.0377,98 759,3 852,0.039,101 177,4 068,0.04019999999999999,91 531,3 871,0.042300000000000004,91 791,3 997,0.0435,68 652,2 647,0.038599999999999995,0.003,0.002,0.004,0.016,0.003,0.021,0.055,0.041,0.014***,0.0,0.005,0.032,0.070***,0.012,-0.034*,0.018,-0.019,0.012,Medicine,1321369,593146,0.15524203047602816,1.30527733431041,0.27087453714063103,0.41629749733811017,0.03501052631578947
Fishery,791 374,30 293,0.0383,25 867,751,0.028999999999999998,27 931,918,0.0329,29 685,984,0.0331,32 756,1 052,0.0321,34 653,1 163,0.0336,36 934,1 255,0.034,38 150,1 372,0.036000000000000004,40 565,1 442,0.0355,43 333,1 476,0.0341,44 523,1 579,0.0355,44 879,1 550,0.0345,44 184,1 623,0.036699999999999997,41 917,1 477,0.0352,42 999,1 665,0.0387,43 831,1 747,0.039900000000000005,46 365,1 821,0.0393,45 884,2 025,0.0441,41 342,1 960,0.047400000000000005,43 240,2 258,0.052199999999999996,42 336,2 175,0.051399999999999994,0.020***,0.003,0.270***,0.021,0.297***,0.027,0.385***,0.055,0.027***,0.0,-0.230***,0.041,-0.092***,0.019,-0.019,0.02,0.001,0.02,Biology,791374,382940,0.32017653201509133,1.4876585031776024,0.5332082400927209,0.6177082326506118,0.0370421052631579
Food Science,1 731 993,41 163,0.023799999999999998,44 742,1 015,0.0227,50 130,1 165,0.0232,55 744,1 212,0.0217,62 164,1 344,0.0216,72 732,1 610,0.022099999999999998,80 442,1 767,0.022000000000000002,84 565,1 838,0.0217,89 203,1 967,0.022099999999999998,95 096,2 270,0.0239,96 785,2 194,0.0227,93 600,2 140,0.0229,87 481,2 024,0.0231,89 111,2 053,0.023,94 164,2 305,0.0245,102 025,2 431,0.023799999999999998,111 151,2 712,0.024399999999999998,111 572,2 728,0.0245,107 357,2 736,0.0255,110 555,3 056,0.0276,93 374,2 596,0.0278,0.022***,0.003,0.166***,0.019,0.141***,0.025,0.020,0.056,0.033***,0.0,-0.332***,0.033,-0.305***,0.015,-0.162***,0.017,-0.298***,0.016,"Biology, Chemistry",1732000,853575,0.6606898226489032,1.376218883185203,0.878586137975342,0.9359335992859438,0.023315789473684213
Forensic Engineering,376 568,21 321,0.056600000000000004,19 487,1 191,0.0611,19 963,1 100,0.055099999999999996,20 976,1 248,0.059500000000000004,21 818,1 314,0.0602,22 951,1 321,0.0576,22 722,1 287,0.056600000000000004,22 971,1 374,0.059800000000000006,21 065,1 185,0.056299999999999996,21 070,1 068,0.0507,19 792,1 026,0.0518,19 507,948,0.048600000000000004,19 422,926,0.04769999999999999,18 450,884,0.0479,18 203,955,0.0525,18 081,983,0.054400000000000004,15 563,897,0.0576,14 062,862,0.0613,11 003,758,0.0689,10 671,746,0.0699,18 791,1 248,0.0664,0.021***,0.002,0.157***,0.027,0.215***,0.034,0.222***,0.066,0.012***,0.001,0.010,0.068,0.073***,0.025,0.006,0.032,0.132***,0.026,Engineering,376568,62747,-0.808610278232533,2.3672349549846072,-0.42306924538870694,-0.3351632872356115,0.05671052631578947
Forestry,401 315,22 934,0.0571,13 472,712,0.0529,14 529,734,0.050499999999999996,15 047,772,0.0513,16 632,855,0.051399999999999994,19 809,946,0.0478,20 845,1 037,0.049699999999999994,20 386,1 044,0.0512,21 756,1 092,0.050199999999999995,23 208,1 174,0.0506,23 768,1 261,0.053099999999999994,23 401,1 115,0.047599999999999996,21 542,1 147,0.053200000000000004,20 907,1 120,0.0536,22 176,1 213,0.0547,22 824,1 437,0.063,23 046,1 502,0.0652,21 678,1 455,0.06709999999999999,18 681,1 396,0.0747,19 264,1 502,0.078,18 344,1 420,0.0774,0.041***,0.003,0.313***,0.024,0.406***,0.03,0.602***,0.055,0.016***,0.0,-0.088*,0.047,-0.028,0.023,0.020,0.026,-0.030,0.024,Geography,401316,117004,-0.014461984000828626,1.60610398772032,0.341640680805006,0.3067588135432354,0.05609473684210527
Gastroenterology,1 206 750,5 914,0.0049,38 665,117,0.003,41 501,157,0.0038,42 625,157,0.0037,48 150,191,0.004,50 436,192,0.0038,54 653,204,0.0037,59 785,226,0.0038,62 730,246,0.0039000000000000003,68 240,280,0.0040999999999999995,66 551,281,0.0042,63 852,302,0.004699999999999999,60 136,256,0.0043,61 372,278,0.0045000000000000005,64 252,309,0.0048,68 968,377,0.0055000000000000005,77 938,432,0.0055000000000000005,77 373,479,0.0062,75 089,444,0.0059,79 633,553,0.0069,44 801,433,0.0097,0.007,0.007,0.163***,0.049,0.120*,0.066,0.288**,0.131,0.019***,0.0,-0.067,0.071,-0.249***,0.036,-0.041,0.043,-0.385***,0.038,Medicine,1206753,545424,0.5077298425363306,0.9802606245577491,0.603601343059111,0.7037819674478805,0.004542105263157895
General Surgery,468 803,8 517,0.0182,14 330,209,0.0146,16 369,242,0.0148,16 538,260,0.015700000000000002,17 683,252,0.0143,18 906,292,0.0154,19 837,289,0.0146,21 040,342,0.0163,21 768,317,0.0146,22 468,368,0.016399999999999998,22 917,407,0.0178,24 565,424,0.0173,25 289,440,0.0174,26 218,445,0.017,27 065,509,0.018799999999999997,27 385,455,0.0166,28 905,565,0.0195,28 290,557,0.0197,24 824,552,0.0222,28 267,660,0.0233,36 139,932,0.0258,0.029***,0.004,0.217***,0.04,0.203***,0.052,0.301***,0.094,0.015***,0.001,,,-0.069**,0.029,0.105**,0.041,-0.038,0.029,Medicine,468804,169683,-0.47714356916765793,1.4566388259094625,-0.28641971720977294,-0.18581580398576542,0.017173684210526313
Genetics,6 493 934,305 512,0.047,200 750,8 802,0.0438,219 130,9 872,0.0451,227 996,10 403,0.045599999999999995,246 698,11 124,0.0451,267 341,12 002,0.0449,284 113,12 802,0.0451,303 166,13 145,0.0434,312 653,13 192,0.042199999999999994,327 368,13 836,0.042300000000000004,333 435,14 060,0.042199999999999994,329 419,14 059,0.042699999999999995,335 800,14 540,0.0433,337 021,15 534,0.0461,354 391,17 807,0.050199999999999995,378 161,19 562,0.051699999999999996,406 885,21 134,0.0519,408 503,22 414,0.054900000000000004,395 424,21 599,0.0546,482 920,24 048,0.049800000000000004,342 760,15 577,0.0454,-0.015***,0.001,0.259***,0.007,0.442***,0.009,0.870***,0.017,0.030***,0.0,-0.194***,0.011,-0.349***,0.006,-0.105***,0.006,-0.331***,0.006,Biology,6493970,3642465,0.6978058839253315,1.1407760062559527,0.7952111550666949,0.9259610851765221,0.04657368421052631
